gcc -O2 -o testED src/evolucion_diferencial.c src/f_utiles.c src/funciones_objetivo.c src/testED.c src/benchmarkOR.c -lm
./testED 10 200 data/g10.txt 300000 1 0.05 0.45 0.8 1
#Parametros: 
#tamanio Poblacion: 200 , dimension: 8 
#num max de Evals: 300000 
#CR: 0.45, F: 0.8 
#Total de Repeticiones: 1 
#
#CR: 0.45, F: 0.8 
gen 0 eps 1 tFac 0 bestEval 10551.6 STV 0.441524 
gen 1 eps 1 tFac 0 bestEval 10551.6 STV 0.441524 
gen 2 eps 1 tFac 0 bestEval 10551.6 STV 0.441524 
gen 3 eps 1 tFac 0 bestEval 10551.6 STV 0.441524 
gen 4 eps 1 tFac 0 bestEval 10551.6 STV 0.441524 
gen 5 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 6 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 7 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 8 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 9 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 10 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 11 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 12 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 13 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 14 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 15 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 16 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 17 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 18 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 19 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 20 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 21 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 22 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 23 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 24 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 25 eps 1 tFac 0 bestEval 13034.4 STV 0.103789 
gen 26 eps 1 tFac 0 bestEval 14113.4 STV 0.0738881 
gen 27 eps 1 tFac 1 bestEval 19460.5 STV 0 
gen 28 eps 1 tFac 2 bestEval 15010.1 STV 0 
gen 29 eps 1 tFac 2 bestEval 15010.1 STV 0 
gen 30 eps 1 tFac 2 bestEval 15010.1 STV 0 
gen 31 eps 1 tFac 2 bestEval 15010.1 STV 0 
gen 32 eps 1 tFac 2 bestEval 15010.1 STV 0 
gen 33 eps 1 tFac 3 bestEval 15010.1 STV 0 
gen 34 eps 1 tFac 4 bestEval 15010.1 STV 0 
gen 35 eps 1 tFac 4 bestEval 15010.1 STV 0 
gen 36 eps 1 tFac 4 bestEval 11100 STV 0 
gen 37 eps 1 tFac 4 bestEval 11100 STV 0 
gen 38 eps 1 tFac 4 bestEval 11100 STV 0 
gen 39 eps 1 tFac 6 bestEval 11100 STV 0 
gen 40 eps 1 tFac 7 bestEval 11100 STV 0 
gen 41 eps 1 tFac 8 bestEval 11100 STV 0 
