gcc -O2 -o testED src/evolucion_diferencial.c src/f_utiles.c src/funciones_objetivo.c src/testED.c src/benchmarkOR.c -lm
./testED 12 200 data/g12.txt 300000 1 0.05 0.45 0.8 1
#Parametros: 
#tamanio Poblacion: 200 , dimension: 3 
#num max de Evals: 300000 
#CR: 0.45, F: 0.8 
#Total de Repeticiones: 1 
#
#CR: 0.45, F: 0.8 
gen 84 eps 0.000299691 tFac 200 bestEval -0.896681 STV 0 
gen 85 eps 0.000269722 tFac 200 bestEval -0.896681 STV 0 
gen 86 eps 0.000242749 tFac 200 bestEval -0.896685 STV 0 
gen 87 eps 0.000218475 tFac 200 bestEval -0.896685 STV 0 
gen 88 eps 0.000196627 tFac 200 bestEval -0.896685 STV 0 
gen 89 eps 0.000176964 tFac 200 bestEval -0.896685 STV 0 
gen 90 eps 0.000159268 tFac 200 bestEval -0.896686 STV 0 
gen 91 eps 0.000143341 tFac 200 bestEval -0.896689 STV 0 
gen 92 eps 0.000129007 tFac 200 bestEval -0.896689 STV 0 
gen 93 eps 0.000116106 tFac 200 bestEval -0.896689 STV 0 
gen 94 eps 0.000104496 tFac 200 bestEval -0.896689 STV 0 
gen 95 eps 9.40461e-05 tFac 200 bestEval -0.896694 STV 0 
gen 96 eps 8.46415e-05 tFac 200 bestEval -0.896694 STV 0 
gen 97 eps 7.61773e-05 tFac 200 bestEval -0.896694 STV 0 
gen 98 eps 6.85596e-05 tFac 200 bestEval -0.896694 STV 0 
gen 99 eps 6.17037e-05 tFac 200 bestEval -0.896694 STV 0 
gen 100 eps 5.55333e-05 tFac 200 bestEval -0.896694 STV 0 
gen 101 eps 4.998e-05 tFac 200 bestEval -0.896694 STV 0 
gen 102 eps 4.4982e-05 tFac 200 bestEval -0.896694 STV 0 
gen 103 eps 4.04838e-05 tFac 200 bestEval -0.896694 STV 0 
gen 104 eps 3.64354e-05 tFac 200 bestEval -0.896694 STV 0 
gen 105 eps 3.27919e-05 tFac 200 bestEval -0.896694 STV 0 
gen 106 eps 2.95127e-05 tFac 200 bestEval -0.896694 STV 0 
gen 107 eps 2.65614e-05 tFac 200 bestEval -0.896694 STV 0 
gen 108 eps 2.39053e-05 tFac 200 bestEval -0.896694 STV 0 
gen 109 eps 2.15147e-05 tFac 200 bestEval -0.896694 STV 0 
gen 110 eps 1.93633e-05 tFac 200 bestEval -0.896694 STV 0 
gen 111 eps 1.74269e-05 tFac 200 bestEval -0.896694 STV 0 
gen 112 eps 1.56842e-05 tFac 200 bestEval -0.896694 STV 0 
gen 113 eps 1.41158e-05 tFac 200 bestEval -0.896694 STV 0 
gen 114 eps 1.27042e-05 tFac 200 bestEval -0.896694 STV 0 
gen 115 eps 1.14338e-05 tFac 200 bestEval -0.896694 STV 0 
gen 116 eps 1.02904e-05 tFac 200 bestEval -0.896694 STV 0 
gen 117 eps 9.26139e-06 tFac 200 bestEval -0.896694 STV 0 
gen 118 eps 8.33525e-06 tFac 200 bestEval -0.896694 STV 0 
gen 119 eps 7.50172e-06 tFac 200 bestEval -0.896694 STV 0 
gen 120 eps 6.75155e-06 tFac 200 bestEval -0.896694 STV 0 
gen 121 eps 6.0764e-06 tFac 200 bestEval -0.896694 STV 0 
gen 122 eps 5.46876e-06 tFac 200 bestEval -0.896694 STV 0 
gen 123 eps 4.92188e-06 tFac 200 bestEval -0.896694 STV 0 
gen 124 eps 4.42969e-06 tFac 200 bestEval -0.896694 STV 0 
gen 125 eps 3.98672e-06 tFac 200 bestEval -0.896694 STV 0 
gen 126 eps 3.58805e-06 tFac 200 bestEval -0.896694 STV 0 
gen 127 eps 3.22925e-06 tFac 200 bestEval -0.896694 STV 0 
gen 128 eps 2.90632e-06 tFac 200 bestEval -0.896694 STV 0 
gen 129 eps 2.61569e-06 tFac 200 bestEval -0.896694 STV 0 
gen 130 eps 2.35412e-06 tFac 200 bestEval -0.896694 STV 0 
gen 131 eps 2.11871e-06 tFac 200 bestEval -0.896695 STV 0 
gen 132 eps 1.90684e-06 tFac 200 bestEval -0.896695 STV 0 
gen 133 eps 1.71615e-06 tFac 200 bestEval -0.896695 STV 0 
gen 134 eps 1.54454e-06 tFac 200 bestEval -0.896695 STV 0 
gen 135 eps 1.39008e-06 tFac 200 bestEval -0.896695 STV 0 
gen 136 eps 1.25108e-06 tFac 200 bestEval -0.896695 STV 0 
gen 137 eps 1.12597e-06 tFac 200 bestEval -0.896695 STV 0 
gen 138 eps 1.01337e-06 tFac 200 bestEval -0.896695 STV 0 
gen 139 eps 9.12034e-07 tFac 200 bestEval -0.896695 STV 0 
gen 140 eps 8.20831e-07 tFac 200 bestEval -0.896695 STV 0 
gen 141 eps 7.38748e-07 tFac 200 bestEval -0.896695 STV 0 
gen 142 eps 6.64873e-07 tFac 200 bestEval -0.896695 STV 0 
gen 143 eps 5.98386e-07 tFac 200 bestEval -0.896695 STV 0 
gen 144 eps 5.38547e-07 tFac 200 bestEval -0.896695 STV 0 
gen 145 eps 4.84693e-07 tFac 200 bestEval -0.896695 STV 0 
gen 146 eps 4.36223e-07 tFac 200 bestEval -0.896695 STV 0 
gen 147 eps 3.92601e-07 tFac 200 bestEval -0.896695 STV 0 
gen 148 eps 3.53341e-07 tFac 200 bestEval -0.896695 STV 0 
gen 149 eps 3.18007e-07 tFac 200 bestEval -0.896695 STV 0 
gen 150 eps 2.86206e-07 tFac 200 bestEval -0.896695 STV 0 
gen 151 eps 2.57585e-07 tFac 200 bestEval -0.896695 STV 0 
gen 152 eps 2.31827e-07 tFac 200 bestEval -0.896695 STV 0 
gen 153 eps 2.08644e-07 tFac 200 bestEval -0.896695 STV 0 
gen 154 eps 1.8778e-07 tFac 200 bestEval -0.896695 STV 0 
gen 155 eps 1.69002e-07 tFac 200 bestEval -0.896695 STV 0 
gen 156 eps 1.52102e-07 tFac 200 bestEval -0.896695 STV 0 
gen 157 eps 1.36891e-07 tFac 200 bestEval -0.896695 STV 0 
gen 158 eps 1.23202e-07 tFac 200 bestEval -0.896695 STV 0 
gen 159 eps 1.10882e-07 tFac 200 bestEval -0.896695 STV 0 
gen 160 eps 9.97939e-08 tFac 200 bestEval -0.896695 STV 0 
gen 161 eps 8.98145e-08 tFac 200 bestEval -0.896695 STV 0 
gen 162 eps 8.0833e-08 tFac 200 bestEval -0.896695 STV 0 
gen 163 eps 7.27497e-08 tFac 200 bestEval -0.896695 STV 0 
gen 164 eps 6.54748e-08 tFac 200 bestEval -0.896695 STV 0 
gen 165 eps 5.89273e-08 tFac 200 bestEval -0.896695 STV 0 
gen 166 eps 5.30346e-08 tFac 200 bestEval -0.896695 STV 0 
gen 167 eps 4.77311e-08 tFac 200 bestEval -0.896695 STV 0 
gen 168 eps 4.2958e-08 tFac 200 bestEval -0.896695 STV 0 
gen 169 eps 3.86622e-08 tFac 200 bestEval -0.896695 STV 0 
gen 170 eps 3.4796e-08 tFac 200 bestEval -0.896695 STV 0 
gen 171 eps 3.13164e-08 tFac 200 bestEval -0.896695 STV 0 
gen 172 eps 2.81847e-08 tFac 200 bestEval -0.896695 STV 0 
gen 173 eps 2.53663e-08 tFac 200 bestEval -0.896695 STV 0 
gen 174 eps 2.28296e-08 tFac 200 bestEval -0.896695 STV 0 
gen 175 eps 2.05467e-08 tFac 200 bestEval -0.896695 STV 0 
gen 176 eps 1.8492e-08 tFac 200 bestEval -0.896695 STV 0 
gen 177 eps 1.66428e-08 tFac 200 bestEval -0.896695 STV 0 
gen 178 eps 1.49785e-08 tFac 200 bestEval -0.896695 STV 0 
gen 179 eps 1.34807e-08 tFac 200 bestEval -0.896695 STV 0 
gen 180 eps 1.21326e-08 tFac 200 bestEval -0.896695 STV 0 
gen 181 eps 1.09193e-08 tFac 200 bestEval -0.896695 STV 0 
gen 182 eps 9.82741e-09 tFac 200 bestEval -0.896695 STV 0 
gen 183 eps 8.84467e-09 tFac 200 bestEval -0.896695 STV 0 
gen 184 eps 7.9602e-09 tFac 200 bestEval -0.896695 STV 0 
gen 185 eps 7.16418e-09 tFac 200 bestEval -0.896695 STV 0 
gen 186 eps 6.44776e-09 tFac 200 bestEval -0.896695 STV 0 
gen 187 eps 5.80299e-09 tFac 200 bestEval -0.896695 STV 0 
gen 188 eps 5.22269e-09 tFac 200 bestEval -0.896695 STV 0 
gen 189 eps 4.70042e-09 tFac 200 bestEval -0.896695 STV 0 
gen 190 eps 4.23038e-09 tFac 200 bestEval -0.896695 STV 0 
gen 191 eps 3.80734e-09 tFac 200 bestEval -0.896695 STV 0 
gen 192 eps 3.42661e-09 tFac 200 bestEval -0.896695 STV 0 
gen 193 eps 3.08395e-09 tFac 200 bestEval -0.896695 STV 0 
gen 194 eps 2.77555e-09 tFac 200 bestEval -0.896695 STV 0 
gen 195 eps 2.498e-09 tFac 200 bestEval -0.896695 STV 0 
gen 196 eps 2.2482e-09 tFac 200 bestEval -0.896695 STV 0 
gen 197 eps 2.02338e-09 tFac 200 bestEval -0.896695 STV 0 
gen 198 eps 1.82104e-09 tFac 200 bestEval -0.896695 STV 0 
gen 199 eps 1.63894e-09 tFac 200 bestEval -0.896695 STV 0 
gen 200 eps 1.47504e-09 tFac 200 bestEval -0.896695 STV 0 
gen 201 eps 1.32754e-09 tFac 200 bestEval -0.896695 STV 0 
gen 202 eps 1.19478e-09 tFac 200 bestEval -0.896695 STV 0 
gen 203 eps 1.07531e-09 tFac 200 bestEval -0.896695 STV 0 
gen 204 eps 9.67775e-10 tFac 200 bestEval -0.896695 STV 0 
gen 205 eps 8.70997e-10 tFac 200 bestEval -0.896695 STV 0 
gen 206 eps 7.83898e-10 tFac 200 bestEval -0.896695 STV 0 
gen 207 eps 7.05508e-10 tFac 200 bestEval -0.896695 STV 0 
gen 208 eps 6.34957e-10 tFac 200 bestEval -0.896695 STV 0 
gen 209 eps 5.71461e-10 tFac 200 bestEval -0.896695 STV 0 
gen 210 eps 5.14315e-10 tFac 200 bestEval -0.896695 STV 0 
gen 211 eps 4.62884e-10 tFac 200 bestEval -0.896695 STV 0 
gen 212 eps 4.16595e-10 tFac 200 bestEval -0.896695 STV 0 
gen 213 eps 3.74936e-10 tFac 200 bestEval -0.896695 STV 0 
gen 214 eps 3.37442e-10 tFac 200 bestEval -0.896695 STV 0 
gen 215 eps 3.03698e-10 tFac 200 bestEval -0.896695 STV 0 
gen 216 eps 2.73328e-10 tFac 200 bestEval -0.896695 STV 0 
gen 217 eps 2.45995e-10 tFac 200 bestEval -0.896695 STV 0 
gen 218 eps 2.21396e-10 tFac 200 bestEval -0.896695 STV 0 
gen 219 eps 1.99256e-10 tFac 200 bestEval -0.896695 STV 0 
gen 220 eps 1.79331e-10 tFac 200 bestEval -0.896695 STV 0 
gen 221 eps 1.61398e-10 tFac 200 bestEval -0.896695 STV 0 
gen 222 eps 1.45258e-10 tFac 200 bestEval -0.896695 STV 0 
gen 223 eps 1.30732e-10 tFac 200 bestEval -0.896695 STV 0 
gen 224 eps 1.17659e-10 tFac 200 bestEval -0.896695 STV 0 
gen 225 eps 1.05893e-10 tFac 200 bestEval -0.896695 STV 0 
gen 226 eps 9.53037e-11 tFac 200 bestEval -0.896695 STV 0 
gen 227 eps 8.57733e-11 tFac 200 bestEval -0.896695 STV 0 
gen 228 eps 7.7196e-11 tFac 200 bestEval -0.896695 STV 0 
gen 229 eps 6.94764e-11 tFac 200 bestEval -0.896695 STV 0 
gen 230 eps 6.25287e-11 tFac 200 bestEval -0.896695 STV 0 
gen 231 eps 5.62759e-11 tFac 200 bestEval -0.896695 STV 0 
gen 232 eps 5.06483e-11 tFac 200 bestEval -0.896695 STV 0 
gen 233 eps 4.55834e-11 tFac 200 bestEval -0.896695 STV 0 
gen 234 eps 4.10251e-11 tFac 200 bestEval -0.896695 STV 0 
gen 235 eps 3.69226e-11 tFac 200 bestEval -0.896695 STV 0 
gen 236 eps 3.32303e-11 tFac 200 bestEval -0.896695 STV 0 
gen 237 eps 2.99073e-11 tFac 200 bestEval -0.896695 STV 0 
gen 238 eps 2.69166e-11 tFac 200 bestEval -0.896695 STV 0 
gen 239 eps 2.42249e-11 tFac 200 bestEval -0.896695 STV 0 
gen 240 eps 2.18024e-11 tFac 200 bestEval -0.896695 STV 0 
gen 241 eps 1.96222e-11 tFac 200 bestEval -0.896695 STV 0 
gen 242 eps 1.766e-11 tFac 200 bestEval -0.896695 STV 0 
gen 243 eps 1.5894e-11 tFac 200 bestEval -0.896695 STV 0 
gen 244 eps 1.43046e-11 tFac 200 bestEval -0.896696 STV 0 
gen 245 eps 1.28741e-11 tFac 200 bestEval -0.896696 STV 0 
gen 246 eps 1.15867e-11 tFac 200 bestEval -0.896696 STV 0 
gen 247 eps 1.0428e-11 tFac 200 bestEval -0.896696 STV 0 
gen 248 eps 9.38523e-12 tFac 200 bestEval -0.896696 STV 0 
gen 249 eps 8.4467e-12 tFac 200 bestEval -0.896696 STV 0 
gen 250 eps 7.60203e-12 tFac 200 bestEval -0.896696 STV 0 
gen 251 eps 6.84183e-12 tFac 200 bestEval -0.896696 STV 0 
gen 252 eps 6.15765e-12 tFac 200 bestEval -0.896696 STV 0 
gen 253 eps 5.54188e-12 tFac 200 bestEval -0.896696 STV 0 
gen 254 eps 4.98769e-12 tFac 200 bestEval -0.896696 STV 0 
gen 255 eps 4.48892e-12 tFac 200 bestEval -0.896696 STV 0 
gen 256 eps 4.04003e-12 tFac 200 bestEval -0.896696 STV 0 
gen 257 eps 3.63603e-12 tFac 200 bestEval -0.896696 STV 0 
gen 258 eps 3.27243e-12 tFac 200 bestEval -0.896696 STV 0 
gen 259 eps 2.94518e-12 tFac 200 bestEval -0.896696 STV 0 
gen 260 eps 2.65067e-12 tFac 200 bestEval -0.896696 STV 0 
gen 261 eps 2.3856e-12 tFac 200 bestEval -0.896696 STV 0 
gen 262 eps 2.14704e-12 tFac 200 bestEval -0.896696 STV 0 
gen 263 eps 1.93233e-12 tFac 200 bestEval -0.896696 STV 0 
gen 264 eps 1.7391e-12 tFac 200 bestEval -0.896696 STV 0 
gen 265 eps 1.56519e-12 tFac 200 bestEval -0.896696 STV 0 
gen 266 eps 1.40867e-12 tFac 200 bestEval -0.896696 STV 0 
gen 267 eps 1.2678e-12 tFac 200 bestEval -0.896696 STV 0 
