gcc -O2 -o testED src/evolucion_diferencial.c src/f_utiles.c src/funciones_objetivo.c src/testED.c src/benchmarkOR.c -lm
./testED 3 200 data/g3.txt 300000 1 0.05 0.45 0.8 1
#Parametros: 
#tamanio Poblacion: 200 , dimension: 10 
#num max de Evals: 300000 
#CR: 0.45, F: 0.8 
#Total de Repeticiones: 1 
#
#CR: 0.45, F: 0.8 
gen 0 eps 0.9 tFac 26 bestEval -0.214281 STV 0 
gen 1 eps 0.81 tFac 46 bestEval -0.720453 STV 0 
gen 2 eps 0.729 tFac 59 bestEval -0.720453 STV 0 
gen 3 eps 0.6561 tFac 80 bestEval -0.82767 STV 0 
gen 4 eps 0.59049 tFac 103 bestEval -0.82767 STV 0 
gen 5 eps 0.531441 tFac 110 bestEval -0.82767 STV 0 
gen 6 eps 0.478297 tFac 127 bestEval -0.82767 STV 0 
gen 7 eps 0.430467 tFac 129 bestEval -0.82767 STV 0 
gen 8 eps 0.38742 tFac 127 bestEval -0.291572 STV 0 
gen 9 eps 0.348678 tFac 128 bestEval -0.291572 STV 0 
gen 10 eps 0.313811 tFac 132 bestEval -0.291572 STV 0 
gen 11 eps 0.28243 tFac 133 bestEval -0.291572 STV 0 
gen 12 eps 0.254187 tFac 140 bestEval -0.291572 STV 0 
gen 13 eps 0.228768 tFac 132 bestEval -0.679873 STV 0 
gen 14 eps 0.205891 tFac 135 bestEval -0.679873 STV 0 
gen 15 eps 0.185302 tFac 135 bestEval -0.679873 STV 0 
gen 16 eps 0.166772 tFac 130 bestEval -0.679873 STV 0 
gen 17 eps 0.150095 tFac 136 bestEval -0.679873 STV 0 
gen 18 eps 0.135085 tFac 136 bestEval -0.398695 STV 0 
gen 19 eps 0.121577 tFac 138 bestEval -0.326342 STV 0 
gen 20 eps 0.109419 tFac 132 bestEval -0.326342 STV 0 
gen 21 eps 0.0984771 tFac 133 bestEval -0.326342 STV 0 
gen 22 eps 0.0886294 tFac 129 bestEval -0.411291 STV 0 
gen 23 eps 0.0797664 tFac 128 bestEval -0.287204 STV 0 
gen 24 eps 0.0717898 tFac 127 bestEval -0.287204 STV 0 
gen 25 eps 0.0646108 tFac 118 bestEval -0.287204 STV 0 
gen 26 eps 0.0581497 tFac 119 bestEval -0.611127 STV 0 
gen 27 eps 0.0523348 tFac 113 bestEval -0.287204 STV 0 
gen 28 eps 0.0471013 tFac 110 bestEval -0.287204 STV 0 
gen 29 eps 0.0423912 tFac 103 bestEval -0.287204 STV 0 
gen 30 eps 0.038152 tFac 102 bestEval -0.287204 STV 0 
gen 31 eps 0.0343368 tFac 94 bestEval -0.634617 STV 0 
gen 32 eps 0.0309032 tFac 88 bestEval -0.634617 STV 0 
gen 33 eps 0.0278128 tFac 81 bestEval -0.634617 STV 0 
gen 34 eps 0.0250316 tFac 82 bestEval -0.634617 STV 0 
gen 35 eps 0.0225284 tFac 79 bestEval -0.634617 STV 0 
gen 36 eps 0.0202756 tFac 80 bestEval -0.634617 STV 0 
