gcc -O2 -o testED src/evolucion_diferencial.c src/f_utiles.c src/funciones_objetivo.c src/testED.c src/benchmarkOR.c -lm
./testED 11 200 data/g11.txt 300000 1 0.05 0.45 0.8 1
#Parametros: 
#tamanio Poblacion: 200 , dimension: 2 
#num max de Evals: 300000 
#CR: 0.45, F: 0.8 
#Total de Repeticiones: 1 
#
#CR: 0.45, F: 0.8 
gen 0 eps 0.9 tFac 176 bestEval 0.0329394 STV 0 
gen 1 eps 0.81 tFac 172 bestEval 0.0385672 STV 0 
gen 2 eps 0.729 tFac 157 bestEval 0.0917956 STV 0 
gen 3 eps 0.6561 tFac 151 bestEval 0.129641 STV 0 
gen 4 eps 0.59049 tFac 149 bestEval 0.173963 STV 0 
gen 5 eps 0.531441 tFac 155 bestEval 0.225407 STV 0 
gen 6 eps 0.478297 tFac 146 bestEval 0.2862 STV 0 
gen 7 eps 0.430467 tFac 146 bestEval 0.321948 STV 0 
gen 8 eps 0.38742 tFac 143 bestEval 0.367838 STV 0 
gen 9 eps 0.348678 tFac 143 bestEval 0.407299 STV 0 
gen 10 eps 0.313811 tFac 134 bestEval 0.438324 STV 0 
gen 11 eps 0.28243 tFac 129 bestEval 0.479684 STV 0 
gen 12 eps 0.254187 tFac 140 bestEval 0.496884 STV 0 
gen 13 eps 0.228768 tFac 138 bestEval 0.524176 STV 0 
gen 14 eps 0.205891 tFac 133 bestEval 0.548268 STV 0 
gen 15 eps 0.185302 tFac 131 bestEval 0.566234 STV 0 
gen 16 eps 0.166772 tFac 127 bestEval 0.600049 STV 0 
gen 17 eps 0.150095 tFac 130 bestEval 0.605652 STV 0 
gen 18 eps 0.135085 tFac 133 bestEval 0.621857 STV 0 
gen 19 eps 0.121577 tFac 135 bestEval 0.635401 STV 0 
gen 20 eps 0.109419 tFac 129 bestEval 0.646606 STV 0 
gen 21 eps 0.0984771 tFac 121 bestEval 0.656635 STV 0 
gen 22 eps 0.0886294 tFac 122 bestEval 0.6651 STV 0 
gen 23 eps 0.0797664 tFac 120 bestEval 0.674752 STV 0 
gen 24 eps 0.0717898 tFac 107 bestEval 0.678636 STV 0 
gen 25 eps 0.0646108 tFac 105 bestEval 0.689302 STV 0 
gen 26 eps 0.0581497 tFac 109 bestEval 0.694405 STV 0 
gen 27 eps 0.0523348 tFac 107 bestEval 0.699921 STV 0 
gen 28 eps 0.0471013 tFac 105 bestEval 0.70453 STV 0 
gen 29 eps 0.0423912 tFac 94 bestEval 0.710396 STV 0 
gen 30 eps 0.038152 tFac 91 bestEval 0.71757 STV 0 
gen 31 eps 0.0343368 tFac 86 bestEval 0.71757 STV 0 
gen 32 eps 0.0309032 tFac 84 bestEval 0.723867 STV 0 
gen 33 eps 0.0278128 tFac 86 bestEval 0.723867 STV 0 
gen 34 eps 0.0250316 tFac 82 bestEval 0.725963 STV 0 
gen 35 eps 0.0225284 tFac 78 bestEval 0.733333 STV 0 
gen 36 eps 0.0202756 tFac 72 bestEval 0.735054 STV 0 
gen 37 eps 0.018248 tFac 69 bestEval 0.735054 STV 0 
gen 38 eps 0.0164232 tFac 71 bestEval 0.738206 STV 0 
gen 39 eps 0.0147809 tFac 73 bestEval 0.738206 STV 0 
gen 40 eps 0.0133028 tFac 67 bestEval 0.740494 STV 0 
gen 41 eps 0.0119725 tFac 71 bestEval 0.740223 STV 0 
gen 42 eps 0.0107753 tFac 70 bestEval 0.740494 STV 0 
gen 43 eps 0.00969774 tFac 73 bestEval 0.7413 STV 0 
gen 44 eps 0.00872796 tFac 60 bestEval 0.743263 STV 0 
gen 45 eps 0.00785517 tFac 64 bestEval 0.743263 STV 0 
gen 46 eps 0.00706965 tFac 58 bestEval 0.74433 STV 0 
gen 47 eps 0.00636269 tFac 58 bestEval 0.74433 STV 0 
gen 48 eps 0.00572642 tFac 56 bestEval 0.745118 STV 0 
gen 49 eps 0.00515378 tFac 53 bestEval 0.747583 STV 0 
gen 50 eps 0.0046384 tFac 51 bestEval 0.747583 STV 0 
gen 51 eps 0.00417456 tFac 44 bestEval 0.747583 STV 0 
gen 52 eps 0.0037571 tFac 45 bestEval 0.747583 STV 0 
gen 53 eps 0.00338139 tFac 44 bestEval 0.747583 STV 0 
gen 54 eps 0.00304325 tFac 44 bestEval 0.747583 STV 0 
gen 55 eps 0.00273893 tFac 45 bestEval 0.747583 STV 0 
gen 56 eps 0.00246503 tFac 41 bestEval 0.749256 STV 0 
gen 57 eps 0.00221853 tFac 41 bestEval 0.749256 STV 0 
gen 58 eps 0.00199668 tFac 40 bestEval 0.749256 STV 0 
gen 59 eps 0.00179701 tFac 40 bestEval 0.749256 STV 0 
gen 60 eps 0.00161731 tFac 41 bestEval 0.749256 STV 0 
gen 61 eps 0.00145558 tFac 43 bestEval 0.749256 STV 0 
gen 62 eps 0.00131002 tFac 41 bestEval 0.749256 STV 0 
gen 63 eps 0.00117902 tFac 43 bestEval 0.749256 STV 0 
gen 64 eps 0.00106112 tFac 38 bestEval 0.749767 STV 0 
gen 65 eps 0.000955005 tFac 38 bestEval 0.749767 STV 0 
gen 66 eps 0.000859504 tFac 36 bestEval 0.749767 STV 0 
gen 67 eps 0.000773554 tFac 36 bestEval 0.749767 STV 0 
gen 68 eps 0.000696199 tFac 35 bestEval 0.749767 STV 0 
gen 69 eps 0.000626579 tFac 35 bestEval 0.749767 STV 0 
gen 70 eps 0.000563921 tFac 36 bestEval 0.749767 STV 0 
gen 71 eps 0.000507529 tFac 37 bestEval 0.7498 STV 0 
gen 72 eps 0.000456776 tFac 37 bestEval 0.7498 STV 0 
gen 73 eps 0.000411098 tFac 37 bestEval 0.7498 STV 0 
gen 74 eps 0.000369988 tFac 38 bestEval 0.7498 STV 0 
gen 75 eps 0.00033299 tFac 38 bestEval 0.767249 STV 0 
gen 76 eps 0.000299691 tFac 41 bestEval 0.767249 STV 0 
gen 77 eps 0.000269722 tFac 53 bestEval 0.767249 STV 0 
gen 78 eps 0.000242749 tFac 59 bestEval 0.767249 STV 0 
gen 79 eps 0.000218475 tFac 68 bestEval 0.767249 STV 0 
gen 80 eps 0.000196627 tFac 74 bestEval 0.767249 STV 0 
gen 81 eps 0.000176964 tFac 82 bestEval 0.767249 STV 0 
gen 82 eps 0.000159268 tFac 90 bestEval 0.767249 STV 0 
gen 83 eps 0.000143341 tFac 98 bestEval 0.750139 STV 0 
gen 84 eps 0.000129007 tFac 103 bestEval 0.750139 STV 0 
gen 85 eps 0.000116106 tFac 107 bestEval 0.750139 STV 0 
gen 86 eps 0.000104496 tFac 112 bestEval 0.750139 STV 0 
gen 87 eps 9.40461e-05 tFac 115 bestEval 0.775005 STV 0 
gen 88 eps 8.46415e-05 tFac 125 bestEval 0.775005 STV 0 
gen 89 eps 7.61773e-05 tFac 131 bestEval 0.775005 STV 0 
