gcc -O2 -o testED src/evolucion_diferencial.c src/f_utiles.c src/funciones_objetivo.c src/testED.c src/benchmarkOR.c -lm
./testED 1 200 data/g1.txt 300000 1 0.05 0.45 0.8 1
#Parametros: 
#tamanio Poblacion: 200 , dimension: 13 
#num max de Evals: 300000 
#CR: 0.45, F: 0.8 
#Total de Repeticiones: 1 
#
#CR: 0.45, F: 0.8 
gen 0 eps 1 tFac 1 bestEval -0.474605 STV 0 
gen 1 eps 1 tFac 7 bestEval -1.44663 STV 0 
gen 2 eps 1 tFac 10 bestEval -1.44663 STV 0 
gen 3 eps 1 tFac 18 bestEval -3.61786 STV 0 
gen 4 eps 0.9 tFac 28 bestEval -3.61786 STV 0 
gen 5 eps 0.81 tFac 41 bestEval -4.2232 STV 0 
gen 6 eps 0.729 tFac 55 bestEval -4.82737 STV 0 
gen 7 eps 0.6561 tFac 76 bestEval -5.73944 STV 0 
gen 8 eps 0.59049 tFac 90 bestEval -5.73944 STV 0 
gen 9 eps 0.531441 tFac 107 bestEval -5.73944 STV 0 
gen 10 eps 0.478297 tFac 125 bestEval -7.72293 STV 0 
gen 11 eps 0.430467 tFac 140 bestEval -7.92144 STV 0 
gen 12 eps 0.38742 tFac 150 bestEval -7.92144 STV 0 
gen 13 eps 0.348678 tFac 160 bestEval -7.92891 STV 0 
gen 14 eps 0.313811 tFac 170 bestEval -10.0725 STV 0 
gen 15 eps 0.28243 tFac 177 bestEval -10.1091 STV 0 
gen 16 eps 0.254187 tFac 180 bestEval -10.1091 STV 0 
gen 17 eps 0.228768 tFac 187 bestEval -12.0433 STV 0 
gen 18 eps 0.205891 tFac 187 bestEval -12.0433 STV 0 
gen 19 eps 0.185302 tFac 188 bestEval -12.3974 STV 0 
gen 20 eps 0.166772 tFac 192 bestEval -12.3974 STV 0 
gen 21 eps 0.150095 tFac 194 bestEval -12.3974 STV 0 
gen 22 eps 0.135085 tFac 195 bestEval -12.3974 STV 0 
gen 23 eps 0.121577 tFac 197 bestEval -12.5061 STV 0 
gen 24 eps 0.109419 tFac 197 bestEval -12.6841 STV 0 
gen 25 eps 0.0984771 tFac 198 bestEval -12.9 STV 0 
gen 26 eps 0.0886294 tFac 198 bestEval -13.0575 STV 0 
gen 27 eps 0.0797664 tFac 199 bestEval -13.258 STV 0 
gen 28 eps 0.0717898 tFac 199 bestEval -13.258 STV 0 
gen 29 eps 0.0646108 tFac 199 bestEval -13.258 STV 0 
gen 30 eps 0.0581497 tFac 200 bestEval -13.6226 STV 0 
gen 31 eps 0.0523348 tFac 200 bestEval -13.6226 STV 0 
gen 32 eps 0.0471013 tFac 200 bestEval -13.6226 STV 0 
gen 33 eps 0.0423912 tFac 200 bestEval -13.7178 STV 0 
gen 34 eps 0.038152 tFac 200 bestEval -13.7178 STV 0 
gen 35 eps 0.0343368 tFac 200 bestEval -14.0411 STV 0 
gen 36 eps 0.0309032 tFac 200 bestEval -14.2729 STV 0 
gen 37 eps 0.0278128 tFac 200 bestEval -14.2729 STV 0 
gen 38 eps 0.0250316 tFac 200 bestEval -14.2729 STV 0 
gen 39 eps 0.0225284 tFac 200 bestEval -14.2729 STV 0 
gen 40 eps 0.0202756 tFac 200 bestEval -14.3067 STV 0 
gen 41 eps 0.018248 tFac 200 bestEval -14.3067 STV 0 
gen 42 eps 0.0164232 tFac 200 bestEval -14.3067 STV 0 
gen 43 eps 0.0147809 tFac 200 bestEval -14.3067 STV 0 
gen 44 eps 0.0133028 tFac 200 bestEval -14.3067 STV 0 
gen 45 eps 0.0119725 tFac 200 bestEval -14.4023 STV 0 
gen 46 eps 0.0107753 tFac 200 bestEval -14.4144 STV 0 
gen 47 eps 0.00969774 tFac 200 bestEval -14.4372 STV 0 
gen 48 eps 0.00872796 tFac 200 bestEval -14.5003 STV 0 
gen 49 eps 0.00785517 tFac 200 bestEval -14.5003 STV 0 
gen 50 eps 0.00706965 tFac 200 bestEval -14.6328 STV 0 
gen 51 eps 0.00636269 tFac 200 bestEval -14.6328 STV 0 
gen 52 eps 0.00572642 tFac 200 bestEval -14.6328 STV 0 
gen 53 eps 0.00515378 tFac 200 bestEval -14.6328 STV 0 
gen 54 eps 0.0046384 tFac 200 bestEval -14.6398 STV 0 
gen 55 eps 0.00417456 tFac 200 bestEval -14.6412 STV 0 
gen 56 eps 0.0037571 tFac 200 bestEval -14.8234 STV 0 
gen 57 eps 0.00338139 tFac 200 bestEval -14.8234 STV 0 
gen 58 eps 0.00304325 tFac 200 bestEval -14.8234 STV 0 
gen 59 eps 0.00273893 tFac 200 bestEval -14.8234 STV 0 
gen 60 eps 0.00246503 tFac 200 bestEval -14.8671 STV 0 
gen 61 eps 0.00221853 tFac 200 bestEval -14.8671 STV 0 
gen 62 eps 0.00199668 tFac 200 bestEval -14.8671 STV 0 
gen 63 eps 0.00179701 tFac 200 bestEval -14.8671 STV 0 
gen 64 eps 0.00161731 tFac 200 bestEval -14.8894 STV 0 
gen 65 eps 0.00145558 tFac 200 bestEval -14.8894 STV 0 
gen 66 eps 0.00131002 tFac 200 bestEval -14.8894 STV 0 
gen 67 eps 0.00117902 tFac 200 bestEval -14.8894 STV 0 
gen 68 eps 0.00106112 tFac 200 bestEval -14.8894 STV 0 
gen 69 eps 0.000955005 tFac 200 bestEval -14.8894 STV 0 
gen 70 eps 0.000859504 tFac 200 bestEval -14.8894 STV 0 
gen 71 eps 0.000773554 tFac 200 bestEval -14.8894 STV 0 
gen 72 eps 0.000696199 tFac 200 bestEval -14.8894 STV 0 
gen 73 eps 0.000626579 tFac 200 bestEval -14.8894 STV 0 
gen 74 eps 0.000563921 tFac 200 bestEval -14.9226 STV 0 
gen 75 eps 0.000507529 tFac 200 bestEval -14.9226 STV 0 
gen 76 eps 0.000456776 tFac 200 bestEval -14.938 STV 0 
gen 77 eps 0.000411098 tFac 200 bestEval -14.9453 STV 0 
gen 78 eps 0.000369988 tFac 200 bestEval -14.9453 STV 0 
gen 79 eps 0.00033299 tFac 200 bestEval -14.9453 STV 0 
gen 80 eps 0.000299691 tFac 200 bestEval -14.9453 STV 0 
gen 81 eps 0.000269722 tFac 200 bestEval -14.9453 STV 0 
gen 82 eps 0.000242749 tFac 200 bestEval -14.9594 STV 0 
gen 83 eps 0.000218475 tFac 200 bestEval -14.9594 STV 0 
gen 84 eps 0.000196627 tFac 200 bestEval -14.9594 STV 0 
gen 85 eps 0.000176964 tFac 200 bestEval -14.9714 STV 0 
gen 86 eps 0.000159268 tFac 200 bestEval -14.9764 STV 0 
gen 87 eps 0.000143341 tFac 200 bestEval -14.9764 STV 0 
gen 88 eps 0.000129007 tFac 200 bestEval -14.9764 STV 0 
gen 89 eps 0.000116106 tFac 200 bestEval -14.9764 STV 0 
gen 90 eps 0.000104496 tFac 200 bestEval -14.9764 STV 0 
gen 91 eps 9.40461e-05 tFac 200 bestEval -14.9764 STV 0 
gen 92 eps 8.46415e-05 tFac 200 bestEval -14.9764 STV 0 
gen 93 eps 7.61773e-05 tFac 200 bestEval -14.9764 STV 0 
gen 94 eps 6.85596e-05 tFac 200 bestEval -14.9794 STV 0 
gen 95 eps 6.17037e-05 tFac 200 bestEval -14.9794 STV 0 
gen 96 eps 5.55333e-05 tFac 200 bestEval -14.9794 STV 0 
gen 97 eps 4.998e-05 tFac 200 bestEval -14.9794 STV 0 
gen 98 eps 4.4982e-05 tFac 200 bestEval -14.9797 STV 0 
gen 99 eps 4.04838e-05 tFac 200 bestEval -14.9797 STV 0 
gen 100 eps 3.64354e-05 tFac 200 bestEval -14.9848 STV 0 
gen 101 eps 3.27919e-05 tFac 200 bestEval -14.9854 STV 0 
gen 102 eps 2.95127e-05 tFac 200 bestEval -14.9879 STV 0 
gen 103 eps 2.65614e-05 tFac 200 bestEval -14.9879 STV 0 
